tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner1_id,winner2_id,winner_seed,winner_entry,loser1_id,loser2_id,loser_seed,loser_entry,score,best_of,round,winner1_name,winner1_hand,winner1_ht,winner1_ioc,winner1_age,winner2_name,winner2_hand,winner2_ht,winner2_ioc,winner2_age,loser1_name,loser1_hand,loser1_ht,loser1_ioc,loser1_age,loser2_name,loser2_hand,loser2_ht,loser2_ioc,loser2_age,winner1_rank,winner1_rank_points,winner2_rank,winner2_rank_points,loser1_rank,loser1_rank_points,loser2_rank,loser2_rank_points,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2020-0451,Doha,Hard,32,A,20200106,259,106382,104136,,,105575,105683,,,5-7 7-6(5) (10-5),3,R32,Luke Bambridge,R,,GBR,24.95824778,Santiago Gonzalez,R,190,MEX,36.86516085,Ricardas Berankis,R,175,LTU,29.54414784,Milos Raonic,R,196,CAN,29.02669405,51,1530,49,1613,292,180,700,45,96,5,3,76,46,35,20,12,4,7,4,3,80,55,42,11,12,3,5
2020-0451,Doha,Hard,32,A,20200106,258,126207,104527,,,122330,126094,,,6-3 7-6(6),3,R32,Francis Tiafoe,R,,USA,21.96030116,Stanislas Wawrinka,R,183,SUI,34.7761807,Alexander Bublik,R,,KAZ,22.55441478,Andrey Rublev,R,,RUS,22.21218344,440,90,287,180,339,135,74,1050,64,4,1,62,46,32,10,10,3,4,3,7,62,32,25,13,11,1,4
2020-0451,Doha,Hard,32,A,20200106,257,103523,105323,3,,106065,132283,,,6-3 6-2,3,R32,Rohan Bopanna,R,190,IND,39.84120465,Wesley Koolhof,R,,NED,30.72142368,Marco Cecchinato,R,,ITA,27.26625599,Lorenzo Sonego,R,,ITA,24.65708419,42,1905,18,3660,451,90,449,90,56,3,3,55,32,23,12,9,6,7,2,4,40,28,16,3,8,2,6
2020-0451,Doha,Hard,32,A,20200106,256,104159,105439,,,105379,111513,,,6-7(2) 6-4 (10-5),3,R32,Ken Skupski,L,185,GBR,36.74469541,Neal Skupski,R,,GBR,30.0971937,Aljaz Bedene,R,181,SLO,30.46954141,Laslo Djere,R,,SRB,24.59685147,50,1573,31,3075,447,90,,,96,3,3,73,52,37,13,11,4,5,2,0,75,51,32,14,11,3,5
2020-0451,Doha,Hard,32,A,20200106,255,105573,105015,2,,104291,209327,,WC,6-3 6-1,3,R32,Henri Kontinen,R,,FIN,29.54962355,Franco Skugor,R,193,CRO,32.29568789,Malek Jaziri,R,185,TUN,35.96167009,Rashed Nawaf,R,,QAT,,16,3750,35,2630,169,405,1907,2,43,6,0,36,26,24,8,8,1,1,2,3,45,33,17,5,8,1,5
2020-M056,Adelaide,Hard,32,A,20200113,269,104216,104802,,,104471,104583,4,,7-6(12) 6-3,3,F,Maximo Gonzalez,R,175,ARG,36.48459959,Fabrice Martin,R,,FRA,33.33880903,Ivan Dodig,R,183,CRO,35.02806297,Filip Polasek,R,196,SVK,34.48049281,33,2775,30,3225,12,4270,13,4220,105,4,3,74,60,44,9,11,7,8,9,3,69,43,35,12,10,4,6
2020-M056,Adelaide,Hard,32,A,20200113,268,104471,104583,4,,104679,105439,,,5-7 6-3 (15-13),3,SF,Ivan Dodig,R,183,CRO,35.02806297,Filip Polasek,R,196,SVK,34.48049281,Jamie Murray,L,190,GBR,33.9137577,Neal Skupski,R,,GBR,30.11635866,12,4270,13,4220,25,3395,31,3075,109,4,6,77,36,29,24,11,7,8,0,4,64,41,37,13,10,2,3
2020-M056,Adelaide,Hard,32,A,20200113,267,104216,104802,,,104330,110749,,,6-3 6-4,3,SF,Maximo Gonzalez,R,175,ARG,36.48459959,Fabrice Martin,R,,FRA,33.33880903,Rajeev Ram,R,193,USA,35.8220397,Joe Salisbury,U,,GBR,27.73169062,33,2775,30,3225,22,3540,21,3570,66,4,0,56,41,29,11,10,5,5,2,1,50,39,27,5,9,4,6
2020-M056,Adelaide,Hard,32,A,20200113,266,104679,105439,,,103781,104273,,,6-3 1-6 (13-11),3,QF,Jamie Murray,L,190,GBR,33.9137577,Neal Skupski,R,,GBR,30.11635866,Jurgen Melzer,L,183,AUT,38.64476386,Edouard Roger Vasselin,R,188,FRA,36.12594114,25,3395,31,3075,36,2445,16,3770,79,1,3,60,49,31,5,8,6,8,1,1,59,45,28,10,8,5,6
2020-M056,Adelaide,Hard,32,A,20200113,265,104471,104583,4,,106426,106228,,,6-4 6-3,3,QF,Ivan Dodig,R,183,CRO,35.02806297,Filip Polasek,R,196,SVK,34.48049281,Christian Garin,R,,CHI,23.62217659,Juan Ignacio Londero,R,,ARG,26.41204654,12,4270,13,4220,299,175,345,135,65,7,4,50,31,27,8,9,1,2,1,2,58,44,25,9,10,4,8
2020-M056,Adelaide,Hard,32,A,20200113,264,104330,110749,,,105323,105254,,,6-4 6-3,3,QF,Rajeev Ram,R,193,USA,35.8220397,Joe Salisbury,U,,GBR,27.73169062,Wesley Koolhof,R,,NED,30.74058864,Nikola Mektic,R,,CRO,31.05270363,22,3540,21,3570,14,3820,15,3810,67,3,1,54,42,31,9,10,6,6,2,1,49,32,22,9,9,7,9
